type,input,output,A,B,C,D,E
dentist,5세 어린이가 유치의 적갈색 색소 침착으로 내원하였다. 병력 청취를 통해 붉은색 뇨를 배설하며 빛에 민감하고 손과 안면에 수포가 발생한 적이 있었음을 파악하였다. 관련 질환은?,Choice 1,포피린증(porphyria),낭성섬유증(cystic fibrosis),저인산효소증(hypophosphatasia),태아적아구증(erythroblastosis fetalis),주기성호중구감소증(cyclic neutropenia)
nurse,보건소 간호사가 고혈압 대상자에게 하는 개별 건강상담의 장점은?,Choice 4,개별로 진행되어 경제적이다.,대상자 간의 상호작용이 많다.,공통된 주제를 다룰 때 적합하다.,집단상담에 비해 상담 효과가 높다.,대상자 수가 많을수록 효율적이다.
nurse,나이팅게일 기장을 수여하는 기구는?,Choice 2,국제연합(UN),국제적십자사(ICRC),세계보건기구(WHO),국제간호협의회(ICN),국제연합교육과학문화기구(UNESCO)
doctor,"68세 산과력 4-0-0-4인 여자가 6개월 전부터 소변이 자주 마려워서 병원에 왔다. 밤에는 자다가 소변을 보기 위해 3번 정도 깬다고 한다. 소변을 참지 못하여 소변이 새는 경우는 없고, 배에 힘을 주거나 재채기를 할 때에 소변이 새지는 않는다고 한다. 요역동학검사에서 방광근의 불수의적 수축이 보이지만 요누출은 보이지 않는다. 검사 결과는 다음과 같다. 진단은?
소변: 적혈구 0~1/고배율시야, 백혈구 0~1/고배율시야
아질산염 (-)
잔뇨: 30 mL
Q tip 검사: 10°",Choice 1,과민방광,급성요도염,급성방광염,신경성방광,절박요실금
dentist,「의료법」상 가장 무거운 벌칙을 받을 수 있는 치과의사의 행위는?,Choice 2,면허대여,요양병원의 개설,진료기록부의 거짓 작성,부당한 경제적 이익등의 취득,「국민건강보험법」에 따른 본인부담금 할인
nurse,강화폐활량계 사용에 대한 교육내용으로 옳은 것은?,Choice 4,체위는 똑바로 누운 자세를 취한다.,강화폐활량계를 비스듬히 세워 잡는다.,공이 위쪽 끝에 닿을 때까지 숨을 내쉰다.,강화폐활량계 사용 후 심호흡과 기침을 한다.,정상적으로 흡기한 후 입술로 마우스피스를 단단히 문다.
pharm,급성백혈병 치료를 위한 항암치료 후 아스페르길루스(Aspergillus) 에 의한 폐렴을 진단받은 38세 남자가 보리코나졸(voriconazole) 을 복용하고 있다. 다른 동반질환이나 복용약물은 없다. 주의하여야 할 이상반응은?,Choice 1,광시증,녹내장,소리공포증,횡문근융해증,호흡성 알칼리증
doctor,"47세 남자가 술을 마시고 싶은 충동을 억누르기 힘들다며 병원에 왔다. 15년 전부터 매일 소주를 1병 정도 마시다가 2개월 전 직장에서 경고를 받은 후 지금까지 술은 전혀 마시지 않았다. 술을 끊은 직후 손이 떨리고 초조한 느낌이 들었지만 지금은 그렇지 않다. 혈압 125/85 mmHg, 맥박 80회/분, 호흡 18회/분, 체온 36.5℃이다. 혈액검사 결과는 다음과 같다. 치료는?아스파르테이트아미노전달효소 45 U/L 감마글루타밀전달효소 60 U/L ",Choice 4,티아민(thiamine),플루옥세틴(fluoxetine),할로페리돌(haloperidol),아캄프로세이트(acamprosate),클로르디아제폭사이드(chlordiazepoxide)
pharm,"감염된 환자에서 다음과 같은 증상을 나타내는 그람양성균은?척추강직, 침흘림, 헛웃음, 호흡곤란, 후궁반장",Choice 2,탄저균(Bacillus anthracis),파상풍균(Clostridium tetani ),수막염균(Neisseria meningitidis),보툴리눔균(Clostridium botulinum ),화농연쇄구균(Streptococcus pyogenes)
nurse,보건소 간호사가 마을회관에서 노인을 대상으로 보건교육을 할 때 교육 효과를 높일 수 있는 방법은?,Choice 4,중간중간에 문제를 내어 답하게 한다.,다양한 색을 사용하여 교육자료를 구성한다.,"역할극, 시범 등의 교육방법보다는 강의법을 적용한다.",건강생활 실천방법을 개별화하여 구체적으로 안내한다.,시간을 단축하기 위해 중간에 쉬는 시간 없이 교육한다.
dentist,열에 약해 손상될 수 있는 기구 중 고도의 소독이 필요할 때 적합한 방법은?,Choice 4,알코올 소독,고압증기멸균,화학증기멸균,에틸렌 옥사이드 멸균,차아염소산나트륨 소독
doctor,"23세 여자가 외음부가 아파서 병원에 왔다. 마지막 성관계를 한 것은 1주 전이다. 골반검사에서 오른쪽 소음순에 2 cm 크기의 통증이 심한 깊은 궤양이 한 개 있고, 경계는 불규칙하였다. 양쪽 샅고랑에서 압통이 있는 림프절이 만져졌다. 치료는?",Choice 4,포도필린,아시클로버,플루코나졸,아지트로마이신,벤자틴페니실린 G
nurse,"식사 중 음식이 목에 걸려 숨쉬기 어려워 하며, 도움을 요청하는 대상자를 위한 응급처치는?",Choice 1,하임리히법을 적용한다.,심폐소생술을 시작한다.,입을 벌려 음식물을 확인한다.,손가락을 넣어 구토를 유도한다.,음식물이 안 보여도 손으로 빼낸다.
dentist,Streptococcus mutans에 의한 포도당의 대사산물은?,Choice 2,요소,젖산,질산염,암모니아,갈락토오스
pharm,Tamoxifen의 중심 골격은?,Choice 5,2- aminopyrimidine,anthraquinone,enediyne,quinoline,triphenylethylene
doctor,18세 여자가 3년 전부터 자주 놀라고 멍해진다며 보호자와 함께 병원에 왔다. 주로 잠이 부족한 다음 날 아침에 갑자기 양팔이 순간적으로 움찔거리며 들고 있던 스마트폰을 놓기도 한다. 수 초간 잠시 멍한 표정을 짓고 그때 일어난 일을 기억하지 못한다. 신경학적 진찰에서 의식은 명료하고 근력과 감각은 정상이다. 진단은?,Choice 5,기면병,전환장애,소발작뇌전증,일과성전체기억상실,청소년근간대뇌전증
pharm,30S 리보솜 소단위를 표적으로 하여 단백질 생합성을 억제하고 살균 활성을 나타내는 항생제는?,Choice 2,린코마이신(lincomycin),겐타마이신(gentamicin),에리트로마이신(erythromycin),스트렙토그라민(streptogramin),클로람페니콜(chloramphenicol)
pharm,제초제인 paraquat가 폐에 선택적으로 독성을 나타내는 것은 폐포 상피세포의 어떠한 특성 때문인가?,Choice 5,CYP2D6의 선택적 발현,P- glycoprotein의 낮은 발현,"Na + ,K+ - ATPase의 높은 활성",glutathione peroxidase의 높은 활성,polyamine transporter의 특이적 분포
dentist,각화치은의 폭경을 계측하는 기준은?,Choice 4,유리치은구로부터 치은점막경계부까지의 거리,유리치은구로부터 구강전정 기저부까지의 거리,유리치은연으로부터 백악법랑경계부까지의 거리,유리치은연으로부터 치은점막경계부까지의 거리,유리치은연으로부터 구강전정 기저부까지의 거리
nurse,간호사가 조현병 대상자에게 “오늘 어떻게 지내셨어요?”라고 하자 대상자는 “그네를 타고 소풍을 갔어. 죽어. 어서 해. 당연하지. 초콜릿.”이라고 대답하였다. 이 환자의 증상은?,Choice 5,양가감정(ambivalence),우원증(circumstantiality),사고지연(thought retardation),사고두절(blocking of thought),연상이완(loosening of association)
dentist,III급 부정교합에서 페이스마스크의 치료 효과는?,Choice 5,상악 전치의 설측경사,하악 전치의 순측경사,상악골의 성장억제,하악골의 전방이동,하악골의 후하방회전
dentist,「지역보건법」상 보건의료원에 관한 설명으로 옳은 것은?,Choice 1,병원의 요건을 갖춘 보건소,병원의 요건을 갖춘 보건지소,종합병원의 요건을 갖춘 보건소,종합병원의 요건을 갖춘 보건지소,상급종합병원의 요건을 갖춘 보건소
pharm,「국민건강증진법」상 이 법의 목적이 아닌 것은?,Choice 2,국민의 건강 증진,국민보건 향상과 사회보장 증진,국민에게 건강에 관한 바른 지식 보급,국민에게 건강에 대한 가치와 책임의식 함양,국민에게 스스로 건강생활을 실천할 수 있는 여건 조성
dentist,X선의 발생에 관한 설명으로 옳은 것은?,Choice 4,시준에 의해 X선 광자의 수가 증가된다.,여과에 의해 X선속의 평균에너지가 감소된다.,관전류가 증가하면 X선속의 최대에너지가 증가된다.,관전압이 증가하면 X선속의 평균에너지가 증가된다.,노출시간이 증가하면 X선속의 평균에너지가 증가된다.
pharm,약국이 보유하고 있는 자동 정제포장기의 감가상각비에 대한 설명으로 옳은 것은?,Choice 4,감가상각비는 매출원가에 해당된다.,내용연수 종료 시점에 남아있는 가치를 총감가상각비라고 한다.,정률법을 사용하면 내용연수 동안 해마다 동일 금액이 감가상각 된다.,연수합계법을 사용하면 내용연수 초기의 감가상각비가 후기보다 크다.,"감가상각비 계산을 위해 취득원가, 내용연수, 재고유지비용 자료가 필요하다."
pharm,작용 지속시간을 연장하기 위한 ‘근육주사용 약물저장고(depot) 요법’에 요변성(thixotropy) 특성을 보이는 부형제를 활용하는 이유는?,Choice 3,보관 중 낮은 점도 유지,주사 시 높은 점도 유지,주사 후 높은 점도 유지,주사 후 낮은 점도 유지,주사 시 높은 삼투압 유지
pharm,"일정량의 증류수에 비전해질 약물 A (분자량 186 g/mol) 를 2.0 g 녹인 용액의 어는점내림값이 0.5℃이었다. 같은 양의 증류수에 비전해질 약물 B를 4.0 g 녹인 용액의 어는점내림값이 2.0℃로 측정되었다면, 약물 B의 분자량(g/mol) 은?",Choice 2,46.5,93,186,279,372
dentist,"금속도재관을 장착하고 3개월 후, 치은 출혈과 치은 퇴축을 호소하며 내원하였다. 원인은?",Choice 2,외상성 교합,불량한 변연적합,과도한 교합면 삭제,putty/wash 연합인상법 사용,치은 압배 시 염화알루미늄 사용
nurse,간헐적 위관영양 절차로 옳은 것은?,Choice 4,영양액은 40℃ 이상의 온도로 데운다.,비위관을 개방한 상태에서 주사기의 외관을 연결한다.,위 잔류량이 20 mL 이하이면 영양액 주입을 중단한다.,영양액 주입 전과 후에 비위관에 물 30 mL를 주입한다.,영양액이 1분에 70 mL 이상 들어가도록 속도를 조절한다.
pharmacy,"단백질의약품의 물리적 안정성 평가 시 α-helix, β-sheet 등의 2차 구조 변화를 분석할 수 있는 방법은?",Choice 3,칼피셔법,에드만분해법,원편광이색성 분광법,유도결합 플라즈마 분석법,SDS를 이용한 전기영동법
pharm,"「약사법」상 서울특별시 종로구에 약국을 개설한 약사가 약국을 폐업하고자 할 때, 폐업신고서를 제출하여야 하는 대상은?",Choice 1,종로구청장,보건의료원장,서울특별시장,보건복지부장관,식품의약품안전처장
pharm,"다음 사례를 읽고 각 문제에 적합한 답을 고르시오. 고혈압, 이상지질혈증, 심부전(NYHA Class III) 으로 약물치료를 받고 있는 57세 남자가 2형당뇨병을 새로 진단 받았다. 환자는 30년 전부터 하루 평균 1갑의 흡연을 하고 있다. 검사결과는 다음과 같다.[복용약물] 아스피린(aspirin) 100 mg 1일 1회 리시노프릴(lisinopril) 10 mg 1일 1회 카르베딜롤(carvedilol) 25 mg 1일 2회 스피로노락톤(spironolactone) 25 mg 1일 1회 아토르바스타틴(atorvastatin) 80 mg 1일 1회 [활력징후] 혈압 119/76 mmHg, 심박수 70회/분, 호흡수 18회/분 체질량지수 30 kg/m2[임상검사] 공복혈당 196 mg/dL,  당화혈색소 8.6%SCr 1.0 mg/dL,  eGFR 87 mL/min/1.73m^2 TC 224 mg/dL,  LDL-C 136 mg/dL,  HDL-C 42 mg/dL,  TG 213 mg/dL, . 환자의 혈당조절을 위해 필요한 약물요법은?",Choice 4,아카르보스(acarbose),글리메피리드(glimepiride),인슐린 라이스프로(insulin lispro),메트포르민(metformin) + 엠파글리플로진(empagliflozin),레파글리니드(repaglinide) + 피오글리타존(pioglitazone)
dentist,방사선영상의 특성에 관한 설명으로 옳은 것은?,Choice 3,특성곡선의 기울기가 클수록 필름대조도가 낮아진다.,촬영 중 X선 관구의 움직임은 상의 해상도를 증가시킨다.,넓은 관용도의 필름은 상대적으로 낮은 대조도를 보인다.,높은 관전압으로 촬영하면 방사선영상대조도는 증가한다.,피사체와 상수용기 사이의 거리를 감소시키면 선예도가 저하된다.
doctor,의사 ‘갑’은 ‘을’로 이름이 바뀌어 의사면허증을 재발급받으려고 한다. 면허 재발급 신청은 누구에게 하여야 하는가?,Choice 3,시 ∙ 군 ∙ 구청장,대한의사협회장,보건복지부장관,주소지 관할 보건소장,한국보건의료인국가시험원장
pharmacy,"신약 A는 대체 치료법이 없는 고가 항암제이고, 효능·효과나 보험 재정 영향 등에 대한 불확실성 때문에 급여대상에 포함 되지 못했다. 이 의약품에 대한 환자 접근성을 높이기 위하여, 보험자가 제약사로부터 환급받는 등의 조건으로 급여할 수 있는 제도는?",Choice 1,위험분담제,참조가격제,의약품 위해관리제,사용량-약가 연동제,약품비 총액 관리제
nurse,환자의 간호력 중 급성사구체신염의 원인으로 예측되는 것은?,Choice 5,변비,저혈압,고염식이,운동 부족,호흡기 감염
dentist,「후천성면역결핍증 예방법」상 후천성면역결핍증의 검진에 관한 설명으로 옳은 것은?,Choice 2,익명검진을 신청하는 경우 검진을 거부할 수 있다.,검진 대상자가 미성년자인 경우 법정대리인에게 검진결과를 통보한다.,감염인의 정보는 익명검진을 신청하는 경우에도 실명으로 관리하여야 한다.,검진 대상자가 교정시설 공동생활자인 경우 검진결과는 본인에게만 통보하여야 한다.,검진을 하는 자는 감염인으로 밝혀진 사람이 있는 경우 질병관리청장에게 신고하여야 한다.
doctor,60세 여자가 얼굴통증으로 병원에 왔다. 통증은 6개월 전부터 간헐적으로 왼쪽 뺨과 입 안에 수초간 발생하고 심할 때에는 송곳으로 찌르는 듯했다고 하였다. 통증은 말을 하거나 칫솔질할 때 잘 나타난다고 하였다. 신경학적 검사에서 이상 소견은 보이지 않았다. 적절한 치료는?,Choice 1,가바펜틴(gabapentin),플루나리진(flunarizine),수마트립탄(sumatriptan),프로프라놀롤(propranolol),아세트아미노펜(acetaminophen)
